Datum;Državni praznik;Dan
01.01.2025.;Nova godina;Srijeda
01.05.2025.;Praznik rada;Četvrtak
01.11.2025.;Dan svih svetih;Subota
05.08.2025.;Dan pobjede i domovinske zahvalnosti i Dan hrvatskih branitelja;Utorak
06.01.2025.;Sveta tri kralja;Ponedjeljak
15.08.2025.;Velika Gospa;Petak
18.11.2025.;Dan sjećanja na žrtve Domovinskog rata i Dan sjećanja na žrtvu Vukovara i Škabrnje;Utorak
19.06.2025.;Tijelovo;Četvrtak
20.04.2025.;Uskrs;Nedjelja
21.04.2025.;Uskršnji ponedjeljak;Ponedjeljak
22.06.2025.;Dan antifašističke borbe;Nedjelja
25.12.2025.;Božić;Četvrtak
26.12.2025.;Sveti Stjepan;Petak
30.05.2025.;Dan državnosti;Petak
